Databases,CrossTissue,TW_Adipose-Subcutaneous,TW_Breast-MammaryTissue,TW_Ovary
CrossTissue_elasticNet0_0.5.db,CHMP4C,CHMP4C,CHMP4C,LRRC37A
TW_Adipose-Subcutaneous_elasticNet0_0.5.db,CRHR1,CRHR1,CRHR1,LRRC37A2
TW_Breast-MammaryTissue_elasticNet0_0.5.db,HOXB2,HOXB2,HOXB2,PTX3
TW_Ovary_elasticNet0_0.5.db,HOXB3,LEKR1,HOXB9,VEPH1
,HOXD1,LRRC37A,LEKR1,
,HOXD3,LRRC37A2,LRRC37A,
,LEKR1,,LRRC37A2,
,LRRC37A,,WNT3,
,LRRC37A2,,,
,NPEPPS,,,
,PRR15L,,,
,RP11-156P1.2,,,
,WNT3,,,
