gene,gene_name,zscore,pvalue,pred_perf_R2,VAR_g,n,covariance_n,model_n
ALDH1A1,ALDH1A1,0.648010412775,0.51697821549,0.104603795222,0.105415182125,45,46,46
AP1S3,AP1S3,0.647964155675,0.517008134075,0.255316349337,0.1919392375,30,31,31
TRIM24,TRIM24,-0.647642109993,0.517216454542,0.125062807126,0.127636697588,42,44,44
KBTBD3,KBTBD3,0.647265807395,0.517459927025,0.0510118605837,0.0395048167328,32,32,32
C14orf21,C14orf21,-0.647203880784,0.5175,0.000626591623619,0.000424227132115,1,1,1
CTTNBP2,CTTNBP2,-0.647129698184,0.517548005992,0.0139378425535,0.0113884816796,11,11,11
SERTAD1,SERTAD1,-0.646813917932,0.517752383529,0.057432031262,0.0516769493574,46,46,46
WDR89,WDR89,-0.646638063642,0.517866217062,0.000262817940054,0.00195301430411,5,5,5
CERKL,CERKL,-0.646571437321,0.517909348817,0.321483256259,0.339136316347,59,59,59
CCDC112,CCDC112,-0.646376020419,0.518035866203,0.0150339123544,0.0203484213405,31,33,33
C9orf156,C9orf156,0.6462311128,0.518129693041,0.200755428267,0.135423484604,12,12,12
COL6A3,COL6A3,0.646071759076,0.518232883791,0.0779679617499,0.0344415129376,3,3,3
C17orf58,C17orf58,0.645960705371,0.518304803768,0.000237508571149,0.000788429513501,3,3,3
AOC2,AOC2,-0.64596022946,0.518305111986,0.00625224715074,0.00365572480291,3,3,3
NCAPD3,NCAPD3,-0.645840136004,0.518382892066,0.0811677226118,0.0431110606467,19,20,20
DYRK4,DYRK4,0.645663059693,0.518497588836,0.076792387929,0.0575376027735,24,24,24
PNMA2,PNMA2,-0.645572647551,0.518556156106,0.0677009359679,0.0438755155306,24,24,24
THOC1,THOC1,-0.645489201632,0.518610213823,0.000104824009725,0.000776236133792,6,6,6
C11orf58,C11orf58,0.645098552478,0.518863321855,0.00647044056438,0.0146255114891,37,37,37
IGFBP4,IGFBP4,-0.645094119036,0.518866194722,0.127940176223,0.090120327389,16,16,16
RHPN2,RHPN2,-0.645001228959,0.518926389296,0.0223829547149,0.0125854894366,19,19,19
ARPC2,ARPC2,-0.644789372287,0.519063690028,0.0298975460365,0.0148551289419,13,13,13
ARL4D,ARL4D,0.644594996606,0.519189678124,0.143787720541,0.126062813505,35,35,35
INSR,INSR,0.644379889789,0.519329121881,0.0576582083964,0.0444654072486,31,31,31
MORF4L1,MORF4L1,-0.644277725397,0.519395357081,0.0440544482748,0.0239750196493,5,5,5
ILK,ILK,0.644202077288,0.519444404058,0.0316682471135,0.0184869265351,27,29,29
PROK2,PROK2,-0.644151331023,0.519477307091,0.100509873561,0.0949375234903,49,51,51
ELF2,ELF2,0.644142187582,0.519483235661,0.0188721593751,0.00752087749071,7,7,7
CLTCL1,CLTCL1,0.643787279387,0.519713383644,0.469722258475,0.373233864057,28,28,28
SSNA1,SSNA1,-0.643732423303,0.519748960964,0.00155822214681,0.00146074066802,5,5,5
KIAA0947,KIAA0947,-0.643712755743,0.519761716812,0.00732942310836,0.0168647539387,53,53,53
MLC1,MLC1,0.643703248029,0.519767883317,0.107571399734,0.0794027574951,48,48,48
BTN1A1,BTN1A1,0.643316986017,0.520018436683,0.00451565138601,0.00277083441365,5,5,5
CARD14,CARD14,-0.643294074392,0.520033300532,0.582838898505,0.474047078986,55,56,56
MRPL34,MRPL34,-0.643106469042,0.520155017195,0.436007071717,0.367248360013,17,17,17
LIN7B,LIN7B,-0.642899429679,0.520289359517,0.0806760498671,0.0293473636462,6,6,6
IL17RB,IL17RB,-0.642839869489,0.520328009848,0.386375604907,0.372654070797,34,34,34
HEATR5A,HEATR5A,0.642792477527,0.520358764922,0.00281394672156,0.00517206974956,15,16,16
GPR27,GPR27,-0.642637856954,0.520459112652,0.0423387048213,0.0297111541756,16,16,16
PDCD1LG2,PDCD1LG2,0.642595429075,0.520486649808,0.144789124438,0.104540917736,35,35,35
C12orf4,C12orf4,-0.642578110815,0.520497890172,0.000489108620643,0.000942932306176,4,4,4
CREBZF,CREBZF,-0.642449012612,0.520581684908,8.13623399134e-07,0.000967420402096,5,5,5
